Date,Open,High,Low,Close,Volume
2008-05-25,127.68,128.21,123.02,87.7107829336,31469600
2008-06-01,124.01,129.99,124.0,91.4042402182,33079200
2008-06-08,128.67,129.37,124.74,88.2333753601,35309300
2008-06-15,125.38,126.722,122.86,89.087884598,31303600
2008-06-22,125.46,127.14,122.36,86.6797222002,35367900
2008-06-29,123.0,125.83,118.26,84.7800281093,41907700
2008-07-06,119.99,120.78,116.6,84.4198630586,32716800
2008-07-13,119.62,124.5,119.62,86.2418744916,47346100
2008-07-20,121.8,130.0,119.9,91.7290949698,59542700
2008-07-27,129.83,130.93,127.26,90.7686548346,45950300
2008-08-03,127.69,129.5,126.13,89.4339255291,28699300
2008-08-10,126.77,129.97,126.25,91.3185386558,34413900
2008-08-17,128.43,128.43,124.4,89.5816360884,32724200
2008-08-24,126.49,127.0,121.55,88.5678521409,34457400
2008-08-31,124.48,125.45,121.5,86.2992447059,30493600
2008-09-07,122.87,124.0,113.17,81.0530900125,42011600
2008-09-14,118.0,119.95,115.0,84.3425707932,46783800
2008-09-21,115.36,124.0,110.61,84.2574980144,66307100
2008-09-28,118.45,121.99,114.14,84.6615937138,34730600
2008-10-05,117.44,118.43,103.03,73.3327353354,62809100
2008-10-12,101.21,103.0,83.51,62.2094695058,86848900
2008-10-19,90.44,99.0,84.35,64.3575571708,75048600
2008-10-26,92.21,93.31,78.82,58.1826913087,58306900
2008-11-02,80.27,94.19,79.01,65.9101353841,60537100
2008-11-09,92.64,94.76,84.25,61.5193709134,47015300
2008-11-16,87.99,88.1,75.4,57.2835408076,58194400
2008-11-23,79.4,81.0,69.5,53.3971310304,73411500
2008-11-30,75.74,82.4,75.0,58.1891812511,39691800
2008-12-07,80.95,81.5,75.31,57.4689475126,51454000
2008-12-14,82.57,85.88,78.06,58.617042878,49785100
2008-12-21,82.51,87.27,80.0,59.558338457,50128100
2008-12-28,83.27,83.45,79.92,57.996643519,18974200
2009-01-04,81.72,87.59,79.68,62.3037838959,26062900
2009-01-11,86.42,90.41,84.25,60.3997996565,41092400
2009-01-18,84.57,86.6,82.11,60.556682253,48180000
2009-01-25,84.76,91.6,81.76,63.8155616441,61309500
2009-02-01,89.77,94.94,89.52,65.3558635008,50819300
2009-02-08,90.6,97.1,89.69,68.9142460307,53659500
2009-02-15,95.93,96.98,92.2,67.2655798577,49132900
2009-02-22,91.73,92.49,87.34,63.645682391,42419500
2009-03-01,89.3,93.28,82.85,65.9681512607,77805700
2009-03-08,91.17,91.9,83.81,61.5095844799,74483600
2009-03-15,84.7,90.65,83.02,64.7710762569,61831600
2009-03-22,91.34,95.0,89.41,66.3122207229,63330900
2009-03-29,93.7,99.86,92.75,67.4877913854,60950700
2009-04-05,92.0,102.66,91.8,73.2724592184,64912500
2009-04-12,100.9,102.45,98.52,72.8997173011,32887100
2009-04-19,100.28,102.04,96.44,72.5914884079,41711800
2009-04-26,100.29,103.86,98.2,71.7384828662,59469300
2009-05-03,99.61,106.05,99.25,74.9856384156,46394300
2009-05-10,105.26,106.82,99.83,73.1316381903,42691700
2009-05-17,101.09,104.38,100.57,73.045168621,42229200
2009-05-24,102.0,106.12,101.74,73.4198700878,34599500
2009-05-31,101.32,106.5,101.02,76.5832151627,27330100
2009-06-07,106.94,108.8,105.11,77.2749717167,35592300
2009-06-14,106.64,110.64,105.5,77.9739340681,38913000
2009-06-21,107.63,109.14,105.5,76.3021890627,42930700
2009-06-28,105.18,106.785,103.51,76.1508673165,30871700
2009-07-05,105.99,106.27,101.73,73.3045773288,24758400
2009-07-12,101.57,102.78,99.5,72.6560555594,34208000
2009-07-19,101.28,115.53,100.19,83.1693140203,58793700
2009-07-26,114.53,118.15,114.39,84.7690010514,42520000
2009-08-02,116.95,119.37,116.05,84.9779691771,28085700
2009-08-09,118.88,119.96,116.7,86.3896836079,27893800
2009-08-16,118.17,119.96,117.32,85.839476958,25401100
2009-08-23,116.69,120.01,116.12,86.8023385954,27622200
2009-08-30,119.92,120.88,117.51,85.5860923165,26123700
2009-09-06,117.1,118.93,115.15,85.0358856665,25309900
2009-09-13,117.94,119.25,116.16,85.4630197764,21828700
2009-09-20,117.0,122.88,116.94,88.4022816171,40859700
2009-09-27,121.03,122.74,120.1,87.6566068151,26232600
2009-10-04,120.52,122.0,117.26,86.1652572112,37380100
2009-10-11,118.9,126.0,118.13,91.1677939893,37825500
2009-10-18,125.44,128.61,121.25,88.0620222414,55978800
2009-10-25,121.76,124.11,120.0,87.1353584099,36292000
2009-11-01,120.61,124.3,119.15,87.3163474395,38785400
2009-11-08,120.61,123.5,119.5,89.7995169256,30790900
2009-11-15,123.92,127.8,123.49,92.373735809,31065000
2009-11-22,127.17,128.655,126.46,92.3228331757,23482700
2009-11-29,127.7,128.94,124.26,91.4065857765,19106900
2009-12-06,125.12,128.9,124.92,92.5337155136,30307700
2009-12-13,126.88,129.77,126.11,94.3007640692,29242700
2009-12-20,129.65,129.98,127.0,93.0136546275,34452500
2009-12-27,127.8,130.57,127.68,94.9479546925,18700700
2010-01-03,130.99,132.85,130.68,95.1879242494,18075000
2010-01-10,131.18,132.97,128.91,95.1515652256,28639800
2010-01-17,131.06,132.89,128.67,95.8278430679,35873500
2010-01-24,131.63,134.25,125.37,91.2611496814,48810900
2010-01-31,126.33,127.75,121.9,88.9996184025,42786400
2010-02-07,123.23,126.07,121.83,89.4213830783,35063800
2010-02-14,123.15,124.2,121.61,90.5772850104,30088800
2010-02-21,124.91,128.06,124.11,92.9074587135,24433700
2010-02-28,127.3,128.27,125.57,92.8855448542,23624900
2010-03-07,127.5,129.09,125.47,92.951286432,29153500
2010-03-14,127.06,128.37,125.2,93.4553051954,33736000
2010-03-21,127.4,128.93,126.78,93.2872989409,32679700
2010-03-28,127.11,130.73,126.57,94.4195150036,31453700
2010-04-04,129.3,129.95,127.55,93.6817484079,17954900
2010-04-11,128.38,129.8,127.12,94.0542840156,24394000
2010-04-18,128.57,132.17,127.84,95.4202479105,35328700
2010-04-25,130.38,132.28,127.77,94.952752246,46345200
2010-05-02,129.76,132.0,128.71,94.2295948898,35378000
2010-05-09,129.39,130.14,116.0,89.6572341987,43103500
2010-05-16,126.27,133.1,125.06,96.3319619535,52007600
2010-05-23,130.68,131.99,121.4,92.0950885602,52738700
2010-05-30,125.26,126.39,121.47,91.977601603,40594400
2010-06-06,124.69,128.22,124.2,91.9922874727,31155200
2010-06-13,125.57,128.8,122.82,94.3199978118,36446000
2010-06-20,128.5,131.25,128.34,95.5682967319,34958900
2010-06-27,131.42,131.94,127.12,93.3433874803,35729700
2010-07-04,127.65,129.47,120.61,89.4810037629,39925900
2010-07-11,123.58,128.2,122.17,93.9601940055,22776300
2010-07-18,127.37,131.6,127.16,94.0115945492,30691500
2010-07-25,128.67,130.38,122.93,94.2685972681,45328500
2010-08-01,128.18,129.5,127.04,94.2832831377,29087100
2010-08-08,129.25,131.98,128.76,96.0382445606,26753600
2010-08-15,130.79,132.49,127.33,94.3630730902,27721100
2010-08-22,127.47,130.195,126.96,94.0900275202,24839400
2010-08-29,127.57,128.03,122.42,92.0458755497,28851700
2010-09-05,125.08,127.6,122.28,94.1490644002,25097500
2010-09-12,126.99,128.29,125.39,94.4516284102,16686200
2010-09-19,128.63,130.6,128.43,96.0751426106,29966700
2010-09-26,130.24,134.15,130.11,98.9679497312,28357000
2010-10-03,133.51,136.28,133.51,100.0970300615,30834900
2010-10-10,135.23,139.09,134.39,102.465884872,26027000
2010-10-17,138.79,142.1,138.27,104.0967786823,31299400
2010-10-24,140.9,143.03,136.7,103.0710128921,41753800
2010-10-31,140.42,144.0,138.53,105.9711996227,32583300
2010-11-07,143.64,146.93,142.32,108.4212301432,27101400
2010-11-14,145.35,147.53,143.35,106.5452804758,24816000
2010-11-21,143.89,145.35,141.18,107.5162997983,24207800
2010-11-28,144.0,146.44,142.33,106.6638782556,15256400
2010-12-05,143.53,145.85,141.28,107.7609077193,28622500
2010-12-12,144.54,146.2999,143.52,107.3458154898,21020900
2010-12-19,145.14,146.01,144.15,107.4792379921,28194800
2010-12-26,145.39,146.4,144.33,108.1389381425,13585400
2011-01-02,145.12,147.5,145.0,108.7838135705,14684300
2011-01-09,147.21,148.86,146.64,109.6510598357,23486200
2011-01-16,147.58,150.0,146.75,111.1854186125,19878500
2011-01-23,149.82,156.78,149.38,115.262217295,35766800
2011-01-30,155.42,164.35,155.33,118.0122033153,32502900
2011-02-06,159.18,164.2,158.68,121.5627243497,25371100
2011-02-13,164.08,166.25,163.18,121.9269589871,26097300
2011-02-20,164.18,164.84,162.52,122.663655291,18590000
2011-02-27,163.57,164.26,159.03,120.7586628284,21433300
2011-03-06,162.36,164.31,159.41,120.4238008721,21537300
2011-03-13,161.6,167.72,158.85,120.8702834805,31095800
2011-03-20,161.16,161.9804,151.71,116.0036230485,41798000
2011-03-27,157.64,162.74,157.07,120.6842490603,25371800
2011-04-03,161.54,164.42,161.12,122.239496813,19066300
2011-04-10,164.42,164.75,163.16,122.0757865233,17602700
2011-04-17,163.44,166.34,162.3,123.6831239136,22168000
2011-04-24,164.64,168.45,162.19,125.2234889127,29758000
2011-05-01,167.65,173.0,167.23,126.9350055784,26858900
2011-05-08,172.11,173.54,167.5,126.2355161585,29465600
2011-05-15,168.39,172.77,167.82,127.0053816428,23498700
2011-05-22,169.81,171.41,166.53,127.1847677751,25997900
2011-05-29,168.58,168.69,165.9,125.1965714758,22718600
2011-06-05,168.44,169.89,164.13,123.3653380423,23342600
2011-06-12,164.76,165.96,162.87,121.9676210951,20640600
2011-06-19,164.44,165.1,161.52,122.9093982895,29385600
2011-06-26,163.7,166.81,163.59,123.3802868867,22978000
2011-07-03,165.74,174.65,165.21,130.4585646889,23400700
2011-07-10,173.52,177.77,173.52,131.9160770136,20777900
2011-07-17,174.9,176.32,173.84,131.2060069067,23838300
2011-07-24,174.73,185.63,173.58,138.4113498859,37500900
2011-07-31,183.89,184.96,179.73,135.9223673008,26294400
2011-08-07,182.6,183.69,166.52,129.2925548292,41229200
2011-08-14,168.83,172.61,161.85,126.2870402977,56678700
2011-08-21,171.32,174.0,157.13,118.2833551041,47511700
2011-08-28,161.35,169.33,157.62,126.9928061591,33789200
2011-09-04,170.58,173.72,166.0,125.3710463075,26288300
2011-09-11,163.06,169.58,160.81,121.1589755817,25328900
2011-09-18,159.64,172.99,158.76,129.8834429317,33464200
2011-09-25,169.5,177.67,165.76,127.1429691083,31790500
2011-10-02,170.96,180.91,169.86,131.2949746544,36868400
2011-10-09,174.36,183.72,168.88,136.9411015452,38117800
2011-10-16,183.0,190.53,182.9,143.0527335787,26220900
2011-10-23,189.71,190.16,176.17,136.3704823382,46796000
2011-10-30,181.51,188.07,179.03,140.7402241606,28719000
2011-11-06,185.59,187.78,180.74,139.9368523822,22918900
2011-11-13,186.22,187.88,181.16,141.2511691329,20903100
2011-11-20,189.17,189.97,183.39,139.6379900212,25522100
2011-11-27,183.37,183.96,177.06,133.4717259402,16357400
2011-12-04,182.71,191.33,180.67,142.9698833266,25843600
2011-12-11,191.18,194.9,190.32,146.6636111991,24142900
2011-12-18,193.64,194.3,181.91,138.3791072565,30186100
2011-12-25,184.51,187.33,179.04,139.268617234,27166800
2012-01-01,184.97,186.48,183.34,138.6127920811,12119700
2012-01-08,186.73,188.71,182.31,137.6026705813,19352900
2012-01-15,182.2,183.72,177.3472,135.0547521712,26633200
2012-01-22,180.36,188.97,179.32,142.1105262298,32020900
2012-01-29,187.91,192.79,187.67,143.5729409385,22822200
2012-02-05,189.39,194.81,188.22,145.9700949455,22703600
2012-02-12,192.48,194.46,191.28,145.6142456354,18144100
2012-02-19,193.31,193.86,190.831,146.3709977694,17149800
2012-02-26,193.73,199.23,192.46,149.6553020312,17955300
2012-03-04,196.78,199.17,196.1,150.449891772,19330600
2012-03-11,198.36,201.19,196.812,151.8196131346,21823600
2012-03-18,200.93,207.52,200.23,155.8985071372,25846100
2012-03-25,205.71,206.53,203.702,155.4974285062,17132200
2012-04-01,206.45,209.12,206.02,157.8963327711,16007300
2012-04-08,208.96,210.69,204.46,155.4898609848,15692400
2012-04-15,204.4,206.17,202.17,153.4693327869,17522600
2012-04-22,204.74,207.64,197.521,151.0477259579,30566700
2012-04-29,197.89,208.17,196.791,156.5039088444,20048100
